Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
4/19/2016,2016,4,19,Tuesday,16,2016-16,209.74,210.2,208.94,209.9,88316100,188.45,0.003154324,185.3771429,178.9256
4/20/2016,2016,4,20,Wednesday,16,2016-16,209.95,210.92,209.39,210.1,81100300,188.63,0.000952916,185.6707143,179.3858
4/21/2016,2016,4,21,Thursday,16,2016-16,210.12,210.25,208.65,208.97,85695000,187.62,-0.005378703,185.8021429,179.8256
4/22/2016,2016,4,22,Friday,16,2016-16,208.55,209.29,207.91,208.97,99251700,187.62,0,185.9764286,180.2682
4/25/2016,2016,4,25,Monday,17,2016-17,208.26,208.66,207.54,208.61,66166500,187.3,-0.001722623,186.26,180.7476
4/26/2016,2016,4,26,Tuesday,17,2016-17,209.04,209.52,208.36,208.92,75864200,187.57,0.001486158,186.42,181.165
4/27/2016,2016,4,27,Wednesday,17,2016-17,208.47,209.81,208.05,209.35,77329400,187.96,0.002058189,186.7664286,181.5338
4/28/2016,2016,4,28,Thursday,17,2016-17,208.46,209.76,206.96,207.45,97216200,186.25,-0.009075799,186.955,181.8132
4/29/2016,2016,4,29,Friday,17,2016-17,206.72,207.13,205.03,206.33,142424100,185.25,-0.005398831,187.1035714,182.0866
5/2/2016,2016,5,2,Monday,18,2016-18,206.92,208.18,206.41,207.97,62188000,186.72,0.007948472,187.235,182.391
5/3/2016,2016,5,3,Tuesday,18,2016-18,206.52,206.8,205.28,206.16,106422100,185.1,-0.008703234,187.1171429,182.6134
5/4/2016,2016,5,4,Wednesday,18,2016-18,204.99,205.85,204.42,205.01,92243800,184.06,-0.005578361,186.9242857,182.859
5/5/2016,2016,5,5,Thursday,18,2016-18,205.56,205.98,204.47,204.97,67619200,184.03,-0.000194731,186.7442857,183.0882
5/6/2016,2016,5,6,Friday,18,2016-18,204.06,205.77,203.88,205.72,89315000,184.7,0.003658909,186.5185714,183.289
5/9/2016,2016,5,9,Monday,19,2016-19,205.57,206.4,205.36,205.89,74374900,184.85,0.000826301,186.2614286,183.5008
5/10/2016,2016,5,10,Tuesday,19,2016-19,206.72,208.47,206.64,208.45,77472200,187.15,0.012433472,186.1557143,183.786
5/11/2016,2016,5,11,Wednesday,19,2016-19,207.91,208.54,206.5,206.5,81727000,185.4,-0.009354284,185.9971429,183.9548
5/12/2016,2016,5,12,Thursday,19,2016-19,207.29,207.49,205.37,206.56,89586300,185.46,0.00029036,185.8428571,184.109
5/13/2016,2016,5,13,Friday,19,2016-19,206.21,206.86,204.38,204.76,96474600,183.84,-0.008714183,185.5957143,184.2168
