Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
5/4/2016,2016,5,4,Wednesday,18,2016-18,10.47,10.47,10.47,10.47,0,9.43,-0.002857151,9.470714286,9.3792
5/5/2016,2016,5,5,Thursday,18,2016-18,10.48,10.48,10.48,10.48,0,9.44,0.000955045,9.47,9.3832
5/6/2016,2016,5,6,Friday,18,2016-18,10.48,10.48,10.48,10.48,0,9.44,0,9.468571429,9.3866
5/9/2016,2016,5,9,Monday,19,2016-19,10.49,10.49,10.49,10.49,0,9.45,0.000954336,9.467142857,9.3898
5/10/2016,2016,5,10,Tuesday,19,2016-19,10.52,10.52,10.52,10.52,0,9.48,0.002859875,9.466428571,9.3934
5/11/2016,2016,5,11,Wednesday,19,2016-19,10.51,10.51,10.51,10.51,0,9.47,-0.000950607,9.465714286,9.3966
5/12/2016,2016,5,12,Thursday,19,2016-19,10.48,10.48,10.48,10.48,0,9.44,-0.002854533,9.462857143,9.399
5/13/2016,2016,5,13,Friday,19,2016-19,10.48,10.48,10.48,10.48,0,9.44,0,9.460714286,9.4014
5/16/2016,2016,5,16,Monday,20,2016-20,10.51,10.51,10.51,10.51,0,9.47,0.002862705,9.460714286,9.4044
5/17/2016,2016,5,17,Tuesday,20,2016-20,10.49,10.49,10.49,10.49,0,9.45,-0.001902921,9.458571429,9.407
5/18/2016,2016,5,18,Wednesday,20,2016-20,10.48,10.48,10.48,10.48,0,9.44,-0.000953426,9.455714286,9.4098
5/19/2016,2016,5,19,Thursday,20,2016-20,10.46,10.46,10.46,10.46,0,9.42,-0.001908369,9.451428571,9.4122
5/20/2016,2016,5,20,Friday,20,2016-20,10.48,10.48,10.48,10.48,0,9.44,0.001912018,9.447857143,9.4154
5/23/2016,2016,5,23,Monday,21,2016-21,10.48,10.48,10.48,10.48,0,9.44,0,9.446428571,9.4178
5/24/2016,2016,5,24,Tuesday,21,2016-21,10.51,10.51,10.51,10.51,0,9.47,0.002862705,9.449285714,9.421
5/25/2016,2016,5,25,Wednesday,21,2016-21,10.53,10.53,10.53,10.53,0,9.49,0.001902921,9.452857143,9.425
5/26/2016,2016,5,26,Thursday,21,2016-21,10.54,10.54,10.54,10.54,0,9.49,0.000949603,9.456428571,9.4288
5/27/2016,2016,5,27,Friday,21,2016-21,10.55,10.55,10.55,10.55,0,9.5,0.000948803,9.46,9.4324
5/31/2016,2016,5,31,Tuesday,22,2016-22,10.55,10.55,10.55,10.55,0,9.5,0,9.461428571,9.4354
